title,brief_description,full_description,url,location,salary_range,job_type,contract_type,position_name,industry,required_education,time_length,hours,date_parsed
Qa specialist,"QA Specialist - Dagdienst - € 3.300,-","Voor deze opdrachtgever in Olst zijn wij op zoek naar een specialist op het gebied van QA. Jij hebt aantoonbare werkervaring en heb kwaliteit hoog in het vaandel staan. Deze opdrachtgever is namelijk actief binnen de farmaceutische industrie en is dagelijks verantwoordelijk voor de levens van vele mensen. Naast een breed scala aan opleidingsmogelijkheden kan jij ook nog eens een startsalaris verdienen wat wel kan oplopen tot € 3.300,- bruto per maand. Klinkt goed toch? Lees snel verder!",https://www.pro-industry.nl/vacature/qa-specialist-P074036,Olst,€2.800-3.300,Dagdienst,Tijdelijk met uitzicht op vast,Laboratorium,Farmacie,hbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medewerker,"Werken als logistiek medewerker in de dagdienst en een salaris verdienen tot €2.350,- bruto per maand!","Dit is jouw kans om bij een mooie, stabiele werkgever als logistiek medewerker aan de slag te gaan. Je zal komen te werken in een mooi nieuw pand in een gezellig team. Naast een leuke werkplek krijg je hier de kans om jouw reachtruck- en hoogwerkercertificaat te behalen.",https://www.pro-industry.nl/vacature/logistiek-medewerker-P075030,Delft,€2.000-2.350,Dagdienst,Tijdelijk met uitzicht op vast,Logistiek,"Diervoeding, dranken, farmacie, voedingsmiddelen",basisonderwijs,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Procesoperator 5 ploegen,Wil jij een topbaan in de chemische industrie?,"Ben jij in het bezit van een procesoperator B diploma, heb je ervaring in de chemische industrie en ben je toe aan de volgende stap in je carrière? Grijp dan deze kans! Als procesoperator bij een grote naam in de chemische industrie heb je een uitdagende, afwisselende en verantwoordelijke baan. Je zorgt ervoor dat het proces goed verloopt door de productielijn goed in de gaten te houden en afwijkingen te detecteren. Waar nodig stuur je bij en je voert controles uit om te checken of alles goed verloopt. Verder heb je administratieve taken, neem je monsters af en werk je aan verbeteringen in het proces. Werk jij graag in de 5-ploegendienst en wil je een goed salaris verdienen dat kan oplopen tot €4.100 bruto per maand inclusief ploegentoeslag? Solliciteer dan snel!",https://www.pro-industry.nl/vacature/procesoperator-5-ploegen-P073744,Delfzijl,€3.600-4.100,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Chemie,mbo niveau 3,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Monteur,"Als monteur aan de slag in de dagdienst en een lekker salaris verdienen van ca € 2500,- ?","Jij komt te werken bij een zeer leuke werkgever in Deventer. In jouw functie als monteur ben jij verantwoordelijk voor de assemblage van kunststof deuren en kozijnen. Het werk is heerlijk in de dagdienst dagelijks van 07:00 uur tot 16:00 uur en doe jij samen met een leuk team van collega's! In de dagdienst kun jij een prima salaris gaan verdienen van ca € 2500,- en is de bedoeling dat jij uiteindelijk in vaste dienst gaat komen! Beschik jij over twee rechter handen en ga jij binnenkort lekker in de dagdienst aan de slag? Neem dan snel contact met ons op.",https://www.pro-industry.nl/vacature/monteur-P073747,Deventer,€2.300-2.600,Dagdienst,Tijdelijk met uitzicht op vast,Technisch overig,Machines en assemblage,vmbo,,40 uur,2022-12-19 19:37:33.192229
Operator 3-ploegen,Als operator dagelijks door heel Europa tafels voorzien van de lekkerste aardappelproducten?,"Ben jij een ervaren operator die zich binnen de voedingsmiddelenindustrie wilt ontwikkelen? Als operator ben jij bij deze aardappel-gigant een onmisbare schakel in het produceren van verschillende aardappelproducten bestemd voor de Europese markt. Werk jij graag in 3-ploegen en wil je daar een lekker salaris tot wel € 3500,- bruto per maand inclusief ploegentoeslag bij verdienen? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-3-ploegen-P073750,Cuijk,€2.600-3.500,3 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Voedingsmiddelen,mbo niveau 2,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Allround operator,Operator - Fulltime - 5-ploegen,"Binnen de voedingsmiddelenindustrie tot wel € 4.000,- bruto verdienen in een 5-ploegendienst? Dan is dit je kans! Wil jij graag werken bij een oer-Hollands bedrijf die wereldwijd opereert? Oneindige doorgroeimogelijkheden en ruimte om jezelf te ontwikkelen door middel van interne cursussen en opleidingen. Enthousiast? Lees dan snel verder!",https://www.pro-industry.nl/vacature/allround-operator-P073756,Hoogeveen,€3.000-4.000,5 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Voedingsmiddelen,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"Operator - 3-ploegen - € 2.750,-",Ben jij dé operator die wij zoeken voor deze uitdagende en afwisselende functie? Deze opdrachtgever is actief binnen de voedingsmiddelenindustrie en wil jou verschillende doorgroei- en opleidingsmogelijkheden bieden. Kwaliteit en ontwikkeling staan hoog in het vaandel. Daarnaast kan jij tot wel € 2.750 bruto per maand als startsalaris gaan verdienen. Klinkt goed toch? Lees snel verder!,https://www.pro-industry.nl/vacature/operator-P073757,Raalte,€2.400-2.750,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Machines en assemblage,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Leerling metaalbewerker,"Opleiding + metaal + € 2.500,-","5 kantbanken, een ultramoderne zwenkbuigmachine, een plasma die een 8 cm dik stalen plaat als boter door midden snijdt. Dit en meer zal tot jouw beschikking zijn wanneer je besluit om te starten als leerling metaalbewerker. Als leerling wordt jij door als jouw collega´s opgeleid tot meester metaalbewerker. Er zijn meer dan genoeg opleidingen en cursussen voor je beschikbaar. Je werkt in een dagdienst of 2 ploegendienst (géén nachtdienst). Het startsalaris zit tussen de € 2.200,- en € 2.500,- per maand. Heb je interesse? Lees dan even verder!",https://www.pro-industry.nl/vacature/leerling-metaalbewerker-P073758,Zwolle,€2.200-2.500,"2 ploegendienst, dagdienst",Tijdelijk met uitzicht op vast,Technisch overig,Metaal,basisonderwijs,,40 uur,2022-12-19 19:37:33.192229
Monteur,Technische uitdaging bij een prachtige werkgever?,"Wil jij aan de slag in de metaalindustrie als monteur in de dagdienst? Deze top werkgever houdt zich voornamelijk bezig met thermische behandelingen van metalen producten. Deze worden gebruikt in de algemene machinebouw, automotive, petrochemische industrie en in de lucht- en ruimtevaart. Verder kun je hier een bruto maandsalaris tot wel € 4.000,- verdienen en zijn er genoeg ontwikkelingsmogelijkheden. Is deze functie op jouw lijf geschreven? Lees dan snel verder!",https://www.pro-industry.nl/vacature/monteur-P073759,Zaandam,€3.000-4.000,Dagdienst,Tijdelijk met uitzicht op vast,Technische dienst,Metaal,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"3 ploegendienst | € 2.800,- | Papier verpakkingsindustrie","Onze opdrachtgever is een wereldspeler op het gebied van innovatieve verpakkingsoplossingen binnen de foodsector. Op de plant in Kerkrade ga jij meewerken in het vervaardigen van diverse papieren verpakkingsoplossingen voor diverse food ketens. Als beginnend operator in de 3 ploegendienst binnen de papierindustrie kun je hier een startsalaris tot wel € 2.800,- bruto inclusief ploegentoeslag verdienen. Ben je geïnteresseerd in deze vacature? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-P073931,Sittard,€2.600-2.800,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Papier en karton,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
